type_id,faction,country,echelon,category,display_name,equipment,role,mobility,move_points,hard_attack,soft_attack,defense,range_cells,recon,command,availability_1985,notes,source_url,rating_status
de_air_defense_platoon_gepard,NATO,West Germany,platoon,air_defense,West German Gepard air-defense platoon,Gepard,radar gun air defense,tracked,6,2,6,6,8,4,0,common,"Radar-guided twin-gun air defense with useful direct-fire potential.",https://www.bundeswehr.de/en/about-bundeswehr/history/history-german-army,provisional_design
de_air_defense_battery_roland,NATO,West Germany,battery,air_defense,West German Roland air-defense battery,Roland,short-range missile air defense,tracked,5,0,2,4,16,3,0,common,"Air-defense combat will require its own detection and engagement rules.",https://www.bundeswehr.de/en/about-bundeswehr/history/history-german-army,provisional_design
uk_hq_team_fv432,NATO,United Kingdom,team,command,British mechanized headquarters,FV432 command variant,command and coordination,tracked,5,1,1,3,1,3,10,common,"Generic BAOR command element pending formation-specific research.",https://soldier.army.mod.uk/media/ymqfogru/december-1966-vol-22-no12.pdf,provisional_design
uk_tank_troop_chieftain,NATO,United Kingdom,troop,tank,British Chieftain tank troop,Chieftain,direct-fire armor,tracked,5,9,6,9,5,3,1,common,"British armored subunit terminology uses troop rather than platoon.",https://tankmuseum.org/tank-nuts/tank-collection/chieftain/,provisional_design
uk_mech_inf_platoon_fv432,NATO,United Kingdom,platoon,mechanized_infantry,British mechanized infantry platoon,FV432,mounted infantry,tracked,5,3,7,5,2,3,1,common,"Represents BAOR infantry before widespread Warrior fielding.",https://soldier.army.mod.uk/media/ymqfogru/december-1966-vol-22-no12.pdf,provisional_design
uk_recon_troop_cvr_t,NATO,United Kingdom,troop,reconnaissance,British CVR(T) reconnaissance troop,Scimitar/Scorpion CVR(T),armored reconnaissance,tracked,8,3,5,4,4,10,1,common,"Exact vehicle mix should be specified by formation when orders of battle are added.",https://tankmuseum.org/article/chieftain-matrix,provisional_design
uk_atgm_team_milan,NATO,United Kingdom,team,anti_tank,British MILAN anti-tank detachment,MILAN,long-range anti-tank,foot,3,9,2,2,6,3,0,common,"Suitable as an attached specialist team.",https://soldier.army.mod.uk/media/ec0jhnog/june-1981-vol-37-no6.pdf,provisional_design
uk_artillery_battery_m109,NATO,United Kingdom,battery,artillery,British M109 artillery battery,M109 155 mm,self-propelled fire support,tracked,4,3,9,3,28,0,0,common,"BAOR field artillery type; indirect-fire model remains to be designed.",https://soldier.army.mod.uk/media/ec0jhnog/june-1981-vol-37-no6.pdf,provisional_design
uk_air_defense_fire_unit_rapier,NATO,United Kingdom,fire_unit,air_defense,British Rapier fire unit,Rapier,short-range missile air defense,towed,3,0,1,2,14,3,0,common,"May operate as several fire units controlled by a battery headquarters.",https://soldier.army.mod.uk/media/hiihyeai/may-1975-vol-31-no5.pdf,provisional_design
nl_tank_platoon_leopard1,NATO,Netherlands,platoon,tank,Dutch Leopard 1 tank platoon,Leopard 1,direct-fire armor,tracked,6,7,6,6,4,3,1,common,"Retained for formations still equipped with Leopard 1.",https://www.defensie.nl/site/binaries/site-content/collections/documents/2014/06/30/ypr-765/HCKL07RLJ-PARpdf-ypr765.pdf,provisional_design
nl_tank_platoon_leopard2,NATO,Netherlands,platoon,tank,Dutch Leopard 2 tank platoon,Leopard 2A1/A2,direct-fire armor,tracked,6,10,6,10,5,4,1,fielding,"Early Dutch Leopard 2 fielding requires formation-level verification.",https://www.defensie.nl/site/binaries/site-content/collections/documents/2014/06/30/ypr-765/HCKL07RLJ-PARpdf-ypr765.pdf,provisional_design
nl_mech_inf_platoon_ypr765,NATO,Netherlands,platoon,mechanized_infantry,Dutch YPR-765 mechanized infantry platoon,YPR-765 PRI,mounted infantry,tracked,6,5,8,6,4,4,1,common,"The Dutch source documents delivery from 1978 and broad Cold War use.",https://www.defensie.nl/site/binaries/site-content/collections/documents/2014/06/30/ypr-765/HCKL07RLJ-PARpdf-ypr765.pdf,provisional_design
nl_atgm_team_ypr_prat,NATO,Netherlands,team,anti_tank,Dutch YPR anti-tank team,YPR-765 PRAT with TOW,long-range anti-tank,tracked,5,10,2,4,8,3,0,common,"Mounted TOW variant of the YPR family.",https://magazines.defensie.nl/materieelgezien/2025/04/infanteriegevechtsvoertuig-ypr-765-verdwijnt-van-toneel,provisional_design
nl_artillery_battery_m109,NATO,Netherlands,battery,artillery,Dutch M109 artillery battery,M109 155 mm,self-propelled fire support,tracked,4,3,9,3,28,0,0,common,"Historical availability should be checked against the selected Dutch formation.",https://www.defensie.nl/site/binaries/site-content/collections/documents/2014/06/30/ypr-765/HCKL07RLJ-PARpdf-ypr765.pdf,provisional_design
be_tank_platoon_leopard1,NATO,Belgium,platoon,tank,Belgian Leopard 1 tank platoon,Leopard 1BE,direct-fire armor,tracked,6,7,6,6,4,3,1,common,"Exact 1985 variant and formation allocation require confirmation.",https://tankmuseum.org/tank-nuts/tank-collection/leopard-1-main-battle-tank/,provisional_design
be_mech_inf_platoon_aifv,NATO,Belgium,platoon,mechanized_infantry,Belgian AIFV mechanized infantry platoon,AIFV-B,mounted infantry,tracked,6,5,8,6,4,4,1,fielding,"Related to the YPR/AIFV family; 1985 fielding status requires formation-level confirmation.",https://www.defensie.nl/documenten/2014/06/24/ypr-765,provisional_design
fr_tank_platoon_amx30,NATO,France,platoon,tank,French AMX-30 tank platoon,AMX-30B2,direct-fire armor,tracked,6,8,6,6,5,3,1,common,"French forces were politically outside NATO's integrated command but remain a plausible scenario participant.",https://www.nato.int/cps/en/natohq/declassified_160672.htm,provisional_design
fr_mech_inf_platoon_amx10p,NATO,France,platoon,mechanized_infantry,French mechanized infantry platoon,AMX-10P,mounted infantry,tracked,6,5,8,6,4,4,1,common,"Include only in scenarios where French participation is specified.",https://www.nato.int/cps/en/natohq/declassified_160672.htm,provisional_design
fr_recon_platoon_amx10rc,NATO,France,platoon,reconnaissance,French armored reconnaissance platoon,AMX-10 RC,heavy armored reconnaissance,wheeled,8,7,5,5,5,9,1,common,"High direct-fire power for a reconnaissance element.",https://www.nato.int/cps/en/natohq/declassified_160672.htm,provisional_design
fr_atgm_team_milan,NATO,France,team,anti_tank,French MILAN anti-tank team,MILAN,long-range anti-tank,foot,3,9,2,2,6,3,0,common,"Include only in scenarios where French participation is specified.",https://www.nato.int/cps/en/natohq/declassified_160672.htm,provisional_design
su_hq_team_bmp1k,Warsaw Pact,USSR,team,command,Soviet motor-rifle headquarters,BMP-1K/command vehicles,command and coordination,tracked,6,2,2,4,2,4,10,common,"Generic regimental or battalion command element; precise vehicle mix depends on formation.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_tank_platoon_t64b,Warsaw Pact,USSR,platoon,tank,Soviet T-64B tank platoon,T-64B,direct-fire armor,tracked,6,9,6,9,5,3,1,common,"Representative first-line Soviet tank type in the western theater.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_tank_platoon_t72a,Warsaw Pact,USSR,platoon,tank,Soviet T-72A tank platoon,T-72A,direct-fire armor,tracked,6,8,6,8,5,3,1,common,"Also provides the basis for export T-72M types used by allied Warsaw Pact armies.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_tank_platoon_t80b,Warsaw Pact,USSR,platoon,tank,Soviet T-80B tank platoon,T-80B,direct-fire armor,tracked,7,10,6,9,5,4,1,limited,"Restrict to formations verified as T-80-equipped in the scenario year and location.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_tank_platoon_t62,Warsaw Pact,USSR,platoon,tank,Soviet T-62 tank platoon,T-62,direct-fire armor,tracked,5,6,5,6,4,2,1,second_line,"Best suited to lower-readiness or reinforcing formations.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_motor_rifle_platoon_bmp1,Warsaw Pact,USSR,platoon,mechanized_infantry,Soviet BMP-1 motor-rifle platoon,BMP-1,mounted infantry,tracked,6,5,8,6,6,3,1,common,"Combines mounted infantry and organic vehicle firepower.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_motor_rifle_platoon_bmp2,Warsaw Pact,USSR,platoon,mechanized_infantry,Soviet BMP-2 motor-rifle platoon,BMP-2,mounted infantry,tracked,6,6,8,7,6,4,1,common,"Use in formations verified as having completed or begun BMP-2 conversion.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_motor_rifle_platoon_btr60,Warsaw Pact,USSR,platoon,motorized_infantry,Soviet BTR-60 motor-rifle platoon,BTR-60PB,mounted infantry,wheeled,7,2,7,4,3,3,1,common,"Useful for older wheeled motor-rifle formations.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_motor_rifle_platoon_btr70,Warsaw Pact,USSR,platoon,motorized_infantry,Soviet BTR-70 motor-rifle platoon,BTR-70,mounted infantry,wheeled,7,3,7,5,3,3,1,common,"Representative wheeled Soviet motor-rifle unit for 1985.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_motor_rifle_platoon_btr80,Warsaw Pact,USSR,platoon,motorized_infantry,Soviet BTR-80 motor-rifle platoon,BTR-80,mounted infantry,wheeled,8,3,7,5,3,4,1,limited,"Entering service in the mid-1980s; do not use as a default 1985 carrier.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_recon_platoon_brdm2,Warsaw Pact,USSR,platoon,reconnaissance,Soviet BRDM-2 reconnaissance platoon,BRDM-2,armored reconnaissance,wheeled,8,2,3,3,4,9,1,common,"Light reconnaissance element with high mobility and observation value.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_atgm_team_at3,Warsaw Pact,USSR,team,anti_tank,Soviet AT-3 anti-tank team,9M14 Malyutka/AT-3 Sagger,long-range anti-tank,foot,3,7,2,2,6,2,0,common,"Older missile with lower game effectiveness than later Soviet systems.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_atgm_team_at4_at5,Warsaw Pact,USSR,team,anti_tank,Soviet AT-4/AT-5 anti-tank team,9K111/9M113 or BRDM-2 launcher,long-range anti-tank,foot,3,10,2,3,8,3,0,common,"Scenario data should eventually distinguish tripod and vehicle-mounted teams.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_artillery_battery_2s1,Warsaw Pact,USSR,battery,artillery,Soviet 2S1 artillery battery,2S1 Gvozdika 122 mm,self-propelled fire support,tracked,5,3,9,4,30,0,0,common,"Common regimental and divisional fire-support system.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_artillery_battery_2s3,Warsaw Pact,USSR,battery,artillery,Soviet 2S3 artillery battery,2S3 Akatsiya 152 mm,self-propelled fire support,tracked,4,4,11,4,34,0,0,common,"Heavier artillery support than 2S1.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_rocket_battery_bm21,Warsaw Pact,USSR,battery,rocket_artillery,Soviet BM-21 rocket battery,BM-21 Grad 122 mm,area fire support,wheeled,6,3,12,2,40,0,0,common,"High-area-effect fire with ammunition and reload limits to be designed.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_air_defense_platoon_zsu23_4,Warsaw Pact,USSR,platoon,air_defense,Soviet Shilka air-defense platoon,ZSU-23-4 Shilka,radar gun air defense,tracked,6,2,7,5,6,4,0,common,"Can be dangerous to soft ground targets at short range.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_air_defense_battery_sa6,Warsaw Pact,USSR,battery,air_defense,Soviet SA-6 air-defense battery,2K12 Kub/SA-6 Gainful,medium-range missile air defense,tracked,5,0,2,4,36,5,0,common,"Usually a divisional air-defense asset rather than a front-line maneuver platoon.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_air_defense_battery_sa8,Warsaw Pact,USSR,battery,air_defense,Soviet SA-8 air-defense battery,9K33 Osa/SA-8 Gecko,mobile missile air defense,wheeled,6,0,2,4,22,5,0,common,"Self-contained mobile radar and missile system.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_air_defense_platoon_sa13,Warsaw Pact,USSR,platoon,air_defense,Soviet SA-13 air-defense platoon,9K35 Strela-10/SA-13 Gopher,short-range missile air defense,tracked,6,0,2,3,12,3,0,common,"Short-range protection for maneuver formations.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_mortar_battery_120mm,Warsaw Pact,USSR,battery,artillery,Soviet 120 mm mortar battery,120 mm mortars,close indirect fire,towed,3,2,8,2,14,0,0,common,"Represents battalion or regimental mortar support.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
su_engineer_platoon,Warsaw Pact,USSR,platoon,engineer,Soviet combat engineer platoon,combat engineer vehicles and trucks,mobility and obstacle support,mixed,5,2,5,4,1,3,1,common,"Future rules should handle mines breaches bridges and field fortifications.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
wp_tank_platoon_t55,Warsaw Pact,Warsaw Pact allies,platoon,tank,Warsaw Pact T-55 tank platoon,T-55/T-55AM,direct-fire armor,tracked,5,5,5,5,4,2,1,common,"Covers East German Polish and Czechoslovak formations pending national variants.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
wp_tank_platoon_t72m,Warsaw Pact,Warsaw Pact allies,platoon,tank,Warsaw Pact T-72M tank platoon,T-72M,direct-fire armor,tracked,6,8,6,7,5,3,1,common,"Export-model T-72 family; allocation varies considerably by national army.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
wp_motor_rifle_platoon_bmp1,Warsaw Pact,Warsaw Pact allies,platoon,mechanized_infantry,Warsaw Pact BMP-1 motor-rifle platoon,BMP-1,mounted infantry,tracked,6,5,8,6,6,3,1,common,"Organization and readiness should be overridden by national formation data.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
wp_motor_rifle_platoon_btr60,Warsaw Pact,Warsaw Pact allies,platoon,motorized_infantry,Warsaw Pact BTR-60 motor-rifle platoon,BTR-60 family,mounted infantry,wheeled,7,2,7,4,3,3,1,common,"Generic allied Warsaw Pact wheeled infantry type pending national variants.",https://irp.fas.org/doddir/army/fm100-2-3.pdf,provisional_design
